epoch,acc,iou,loss,lr,precision_3,recall_3,val_acc,val_iou,val_loss,val_precision_3,val_recall_3
0,0.7334043979644775,0.36445507407188416,0.009034485556185246,0.001,0.9996393322944641,0.23500379920005798,0.8397173881530762,0.3458728492259979,0.0792868360877037,0.989645779132843,0.28464534878730774
1,0.8034139275550842,0.3720463514328003,0.0038720264565199614,0.001,1.0,0.22298678755760193,0.839712917804718,0.3195571005344391,0.05087457224726677,0.9877458214759827,0.32068440318107605
2,0.8390788435935974,0.37261056900024414,0.0034101882483810186,0.001,1.0,0.22209832072257996,0.8397130966186523,0.30826881527900696,0.051006849855184555,0.9882206320762634,0.33366909623146057
3,0.8358189463615417,0.37279853224754333,0.0032003989908844233,0.001,1.0,0.22306449711322784,0.839712917804718,0.3058231770992279,0.04521630331873894,0.9877119660377502,0.3090195655822754
4,0.8396308422088623,0.37315788865089417,0.00300118257291615,0.001,1.0,0.2234128713607788,0.8397135734558105,0.28817811608314514,0.06413038820028305,0.9889228940010071,0.3282663822174072
5,0.8395752906799316,0.37362441420555115,0.002821542089805007,0.001,1.0,0.2226923257112503,0.8397135734558105,0.30469831824302673,0.038917381316423416,0.9985292553901672,0.2717255651950836
6,0.8405668139457703,0.3738262951374054,0.002694457769393921,0.001,1.0,0.2227470427751541,0.8397138714790344,0.3284687399864197,0.020768357440829277,0.99997478723526,0.24157024919986725
7,0.8400988578796387,0.3743933439254761,0.0025118079502135515,0.001,1.0,0.22327885031700134,0.8397132754325867,0.34673812985420227,0.010369918309152126,1.0,0.23003044724464417
8,0.8356269001960754,0.3746831715106964,0.0024137189611792564,0.001,1.0,0.22506502270698547,0.8397124409675598,0.35872313380241394,0.004767914768308401,1.0,0.222301185131073
9,0.835193932056427,0.3747406005859375,0.0023478514049202204,0.001,1.0,0.2253764569759369,0.8397095203399658,0.3679165542125702,0.0030978505965322256,1.0,0.21525298058986664
10,0.8330035209655762,0.3749714195728302,0.0022584584075957537,0.001,1.0,0.22608396410942078,0.8396934866905212,0.3727513551712036,0.002381243510171771,1.0,0.2137778252363205
11,0.837285041809082,0.3751150369644165,0.0021709559950977564,0.001,1.0,0.2265971451997757,0.8394417762756348,0.37848934531211853,0.0019656147342175245,1.0,0.22026437520980835
12,0.8365853428840637,0.3753257691860199,0.0021006090100854635,0.001,1.0,0.22783850133419037,0.8386759161949158,0.3885105550289154,0.0021294783800840378,1.0,0.27440065145492554
13,0.8368480205535889,0.37549543380737305,0.0020291705150157213,0.001,1.0,0.22772201895713806,0.8378058075904846,0.3771232068538666,0.004348593298345804,1.0,0.22859999537467957
14,0.8402709364891052,0.37564849853515625,0.0019376198761165142,0.001,1.0,0.22669537365436554,0.8355934619903564,0.3877747058868408,0.0019112249137833714,1.0,0.24792441725730896
15,0.8370313048362732,0.37592747807502747,0.001893377397209406,0.001,1.0,0.22621320188045502,0.828742265701294,0.4076148271560669,0.005359433125704527,0.999998152256012,0.2927701771259308
16,0.8459534645080566,0.3757535517215729,0.0015488880453631282,0.000100000005,1.0,0.22414280474185944,0.8406768441200256,0.39499256014823914,0.0013493873411789536,1.0,0.24062244594097137
17,0.840563952922821,0.3761615753173828,0.0014320806367322803,0.000100000005,1.0,0.22424764931201935,0.838755190372467,0.39121755957603455,0.001141931745223701,1.0,0.23368005454540253
18,0.8395276069641113,0.3762119710445404,0.0013877651654183865,0.000100000005,1.0,0.224568173289299,0.8389175534248352,0.38935497403144836,0.0011314698494970798,1.0,0.23140136897563934
19,0.8394889831542969,0.376299113035202,0.0013501904904842377,0.000100000005,1.0,0.2246170938014984,0.8390901684761047,0.3884076774120331,0.0011362105142325163,1.0,0.23062866926193237
20,0.8396695256233215,0.37638261914253235,0.0013160047819837928,0.000100000005,1.0,0.22454394400119781,0.8393365740776062,0.38783612847328186,0.0011316442396491766,1.0,0.23012389242649078
21,0.8398658633232117,0.3764607906341553,0.0012835138477385044,0.000100000005,1.0,0.22442324459552765,0.8397297263145447,0.38765084743499756,0.001116958330385387,1.0,0.22999298572540283
22,0.839787483215332,0.37577465176582336,0.0012196855386719108,1.0000001e-05,1.0,0.2218865305185318,0.8395864367485046,0.38815760612487793,0.0010561362141743302,1.0,0.2327737659215927
23,0.8401432633399963,0.3763447105884552,0.0012007452314719558,1.0000001e-05,1.0,0.22353826463222504,0.8395211100578308,0.38866567611694336,0.001025729114189744,1.0,0.23325218260288239
24,0.8401026725769043,0.3764624297618866,0.0011952760396525264,1.0000001e-05,1.0,0.22396159172058105,0.839527428150177,0.38904380798339844,0.001006690668873489,1.0,0.2334158718585968
25,0.8400251865386963,0.3765037953853607,0.0011909255990758538,1.0000001e-05,1.0,0.2240937501192093,0.8394580483436584,0.38928794860839844,0.0009959423914551735,1.0,0.2335186004638672
26,0.8399359583854675,0.3765261173248291,0.001186727313324809,1.0000001e-05,1.0,0.22414033114910126,0.8393571376800537,0.38944998383522034,0.0009892618982121348,1.0,0.23360230028629303
27,0.8398394584655762,0.3765411376953125,0.0011825404362753034,1.0000001e-05,1.0,0.22415459156036377,0.8392483592033386,0.3895575702190399,0.0009846152970567346,1.0,0.23366600275039673
28,0.8397838473320007,0.3764803111553192,0.001173001597635448,1.0000001e-06,1.0,0.22412090003490448,0.8392252922058105,0.38961803913116455,0.0009805610170587897,1.0,0.23349086940288544
29,0.8397806286811829,0.3764946758747101,0.0011725119547918439,1.0000001e-06,1.0,0.22412575781345367,0.839169979095459,0.3896607458591461,0.0009783866116777062,1.0,0.23340395092964172
30,0.8397780060768127,0.37650707364082336,0.0011720267357304692,1.0000001e-06,1.0,0.22413256764411926,0.8391439914703369,0.3896948993206024,0.0009770756587386131,1.0,0.23336268961429596
31,0.8397719264030457,0.37651726603507996,0.0011715433793142438,1.0000001e-06,1.0,0.22413960099220276,0.8391072154045105,0.3897225558757782,0.0009761957335285842,1.0,0.23334456980228424
32,0.8397724628448486,0.37651780247688293,0.0011705306824296713,1.0000001e-07,1.0,0.22414682805538177,0.8390713334083557,0.3897550106048584,0.0009757508523762226,1.0,0.23334093391895294
33,0.8397715091705322,0.37651872634887695,0.0011704812059178948,1.0000001e-07,1.0,0.22414740920066833,0.839054524898529,0.38977500796318054,0.0009754898492246866,1.0,0.23333996534347534
34,0.8397697806358337,0.37651965022087097,0.001170430681668222,1.0000001e-07,1.0,0.2241477519273758,0.8390392661094666,0.38978782296180725,0.0009753229678608477,1.0,0.23333963751792908
35,0.8397685885429382,0.3765204846858978,0.001170379458926618,1.0000001e-07,1.0,0.2241484671831131,0.8390339016914368,0.38979578018188477,0.0009752069599926472,1.0,0.23334158957004547
36,0.8397685885429382,0.3765204846858978,0.0011702701449394226,1.0000001e-08,1.0,0.22414912283420563,0.8390316367149353,0.3898024559020996,0.000975148577708751,1.0,0.2333410382270813
37,0.839768648147583,0.3765206038951874,0.0011702659539878368,1.0000001e-08,1.0,0.22414883971214294,0.8390295505523682,0.3898064196109772,0.0009751119650900364,1.0,0.23334169387817383
38,0.8397685885429382,0.3765206038951874,0.001170261763036251,1.0000001e-08,1.0,0.22414878010749817,0.8390259146690369,0.3898089826107025,0.00097508798353374,1.0,0.23334196209907532
39,0.8397682309150696,0.3765206038951874,0.0011702572228386998,1.0000001e-08,1.0,0.22414855659008026,0.8390259146690369,0.3898104727268219,0.0009750717435963452,1.0,0.2333420366048813
40,0.8397684097290039,0.37652066349983215,0.0011702486081048846,1.0000001e-09,1.0,0.22414858639240265,0.8390272259712219,0.3898117244243622,0.0009750635945238173,1.0,0.23334282636642456
41,0.8397682309150696,0.37652066349983215,0.001170248375274241,1.0000001e-09,1.0,0.22414857149124146,0.8390257358551025,0.3898124396800995,0.0009750584722496569,1.0,0.23334330320358276
42,0.8397683501243591,0.37652066349983215,0.0011702481424435973,1.0000001e-09,1.0,0.22414860129356384,0.8390269875526428,0.389812707901001,0.0009750553290359676,1.0,0.23334336280822754
43,0.8397683501243591,0.37652066349983215,0.0011702481424435973,1.0000001e-09,1.0,0.22414857149124146,0.8390260338783264,0.38981303572654724,0.0009750532917678356,1.0,0.23334340751171112
44,0.8397684097290039,0.37652066349983215,0.0011702479096129537,1.0000001e-10,1.0,0.22414858639240265,0.8390271067619324,0.3898131847381592,0.0009750520694069564,1.0,0.23334340751171112
45,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-10,1.0,0.22414858639240265,0.8390271663665771,0.3898133337497711,0.0009750513709150255,1.0,0.23334357142448425
46,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-10,1.0,0.22414855659008026,0.8390271067619324,0.3898134231567383,0.0009750509052537382,1.0,0.23334363102912903
47,0.8397684097290039,0.37652066349983215,0.0011702477931976318,1.0000001e-10,1.0,0.22414858639240265,0.8390271663665771,0.38981351256370544,0.0009750504978001118,1.0,0.23334373533725739
48,0.8397682309150696,0.37652066349983215,0.0011702479096129537,1.0000001e-11,1.0,0.22414857149124146,0.8390274047851562,0.38981351256370544,0.000975050323177129,1.0,0.23334373533725739
49,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-11,1.0,0.22414858639240265,0.8390275835990906,0.38981345295906067,0.0009750502649694681,1.0,0.23334373533725739
50,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-11,1.0,0.22414858639240265,0.8390278220176697,0.38981345295906067,0.0009750502649694681,1.0,0.23334373533725739
51,0.8397684097290039,0.37652066349983215,0.0011702479096129537,1.0000001e-11,1.0,0.22414858639240265,0.8390277028083801,0.38981345295906067,0.0009750502067618072,1.0,0.23334373533725739
52,0.8397684097290039,0.37652066349983215,0.0011702480260282755,1.0000001e-12,1.0,0.22414858639240265,0.8390276432037354,0.38981351256370544,0.0009750502067618072,1.0,0.23334373533725739
53,0.8397684097290039,0.37652066349983215,0.0011702479096129537,1.0000001e-12,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750502067618072,1.0,0.23334373533725739
54,0.8397682309150696,0.37652066349983215,0.0011702479096129537,1.0000001e-12,1.0,0.22414860129356384,0.8390276432037354,0.38981351256370544,0.0009750500903464854,1.0,0.23334373533725739
55,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-12,1.0,0.22414858639240265,0.839027464389801,0.38981351256370544,0.0009750500903464854,1.0,0.23334373533725739
56,0.8397684097290039,0.37652066349983215,0.0011702479096129537,1.0000001e-13,1.0,0.22414857149124146,0.8390276432037354,0.38981351256370544,0.0009750500903464854,1.0,0.23334373533725739
57,0.8397682309150696,0.37652066349983215,0.0011702479096129537,1.0000001e-13,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.2333436757326126
58,0.8397682309150696,0.37652066349983215,0.0011702479096129537,1.0000001e-13,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334373533725739
59,0.8397682309150696,0.37652066349983215,0.0011702479096129537,1.0000001e-13,1.0,0.22414857149124146,0.839027464389801,0.38981351256370544,0.0009750500903464854,1.0,0.23334373533725739
60,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.00000015e-14,1.0,0.22414858639240265,0.8390274047851562,0.38981351256370544,0.0009750500903464854,1.0,0.23334373533725739
61,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.00000015e-14,1.0,0.22414858639240265,0.839027464389801,0.38981351256370544,0.0009750500903464854,1.0,0.23334373533725739
62,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.00000015e-14,1.0,0.22414858639240265,0.8390273451805115,0.38981351256370544,0.0009750502067618072,1.0,0.23334376513957977
63,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.00000015e-14,1.0,0.22414858639240265,0.8390276432037354,0.38981351256370544,0.0009750500903464854,1.0,0.23334373533725739
64,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-15,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334373533725739
65,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-15,1.0,0.22414858639240265,0.8390277028083801,0.38981351256370544,0.0009750500903464854,1.0,0.23334373533725739
66,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-15,1.0,0.22414858639240265,0.8390277028083801,0.38981351256370544,0.0009750500903464854,1.0,0.23334373533725739
67,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-15,1.0,0.22414858639240265,0.839027464389801,0.38981351256370544,0.0009750500903464854,1.0,0.23334373533725739
68,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-16,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
69,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-16,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
70,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-16,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
71,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-16,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
72,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-17,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
73,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-17,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
74,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-17,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
75,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-17,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
76,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1e-18,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
77,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1e-18,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
78,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1e-18,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
79,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1e-18,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
80,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.00000003e-19,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
81,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.00000003e-19,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
82,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.00000003e-19,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
83,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.00000003e-19,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
84,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.00000005e-20,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
85,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.00000005e-20,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
86,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.00000005e-20,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
87,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.00000005e-20,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
88,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-21,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
89,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-21,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
90,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-21,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
91,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-21,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
92,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-22,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
93,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-22,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
94,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-22,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
95,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-22,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
96,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-23,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
97,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-23,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
98,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-23,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
99,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-23,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
